Key,Context,Source,en-us
Studio.App.ForceResetLayoutSettingsBody,,"An unexpected problem has occurred with the docking layout. The current layout will be reset and Studio must be restarted.
We are investigating this issue further and apologize for the inconvenience.","An unexpected problem has occurred with the docking layout. The current layout will be reset and Studio must be restarted.
We are investigating this issue further and apologize for the inconvenience."
Studio.App.DumpQtitanVisualHierarchyToLog,,Dump Visual Qtitan Hierarchy To Log,Dump Visual Qtitan Hierarchy To Log
Studio.App.ExplorerFilterPicker.Properties,,Properties,Properties
Studio.App.ExplorerFilterPicker.Reference,The header for the syntax guide wiki article--reference as in a source of information.,Reference,Reference
Studio.App.ExplorerFilterPicker.SyntaxGuide,,Syntax Guide,Syntax Guide
Studio.App.RenderScheduler.FailedCreateGameWindow,,Failed to Create Game Window.  A key file may have gotten Corrupted.  Please try to reInstall Roblox Studio.  If the issue persists make sure your drivers are up to date http://www.roblox.com/drivers or Contact Customer support,Failed to Create Game Window.  A key file may have gotten Corrupted.  Please try to reInstall Roblox Studio.  If the issue persists make sure your drivers are up to date http://www.roblox.com/drivers or Contact Customer support
Studio.App.RenderScheduler.NoRenderBackend,,"Your computer's graphics card is not compatible with Roblox's minimum system requirements.

Visit https://www.roblox.com/drivers for more information.","Your computer's graphics card is not compatible with Roblox's minimum system requirements.

Visit https://www.roblox.com/drivers for more information."
Studio.App.RenderScheduler.FailedToBindToWorkspace,,Failed to Bind to Workspace. Please restart Studio in order to resolve the issue.,Failed to Bind to Workspace. Please restart Studio in order to resolve the issue.
Studio.App.RenderScheduler.DeprecatedDirect3D9,,"On August 16th, the Roblox application will require DirectX 10 or higher feature level support.

To keep using the Roblox application, please use a device that is compatible with Roblox’s system requirements.","On August 16th, the Roblox application will require DirectX 10 or higher feature level support.

To keep using the Roblox application, please use a device that is compatible with Roblox’s system requirements."
Studio.App.AuxiliaryView.RenderException1,,Adding AuxiliaryView failed with error,Adding AuxiliaryView failed with error
Studio.App.DmDiffUI.Title1,,%1 Diff Viewer,%1 Diff Viewer
Studio.App.DmDiffUI.Compare,,Compare,Compare
Studio.App.DmDiffUI.with,,with,with
Studio.App.DmDiffUI.Visual.Diff.Tab,,Visual Overview,Visual Overview
Studio.App.DmDiffUI.Properties,,Properties,Properties
Studio.App.DmDiffUI.Added1,,%1 (added),%1 (added)
Studio.App.DmDiffUI.Deleted1,,%1 (deleted),%1 (deleted)
Studio.App.DmDiffUI.Version.Error,,Diffs are not available for older versions. Select or create a newer version to compare.,Diffs are not available for older versions. Select or create a newer version to compare.
Studio.App.DmDiffUI.DescendantChangesToolTip1,,%1 descendant change(s),%1 descendant change(s)
Studio.App.PlayModifiedScriptController.AlwaysSave,,Always Save,Always Save
Studio.App.PlayModifiedScriptController.FailToApplyChange,,Fail to apply change from play test for %1 because: %2,Fail to apply change from play test for %1 because: %2
Studio.App.PlayModifiedScriptController.FailToFindInstance,,Fail to find script instance to apply,Fail to find script instance to apply
Studio.App.PlayModifiedScriptController.KeepTheseChanges,,You've made script changes while playing.  Would you like to keep these changes?,You've made script changes while playing.  Would you like to keep these changes?
Studio.App.ScriptingHostAppServices.UsageExceeded,,Daily AI Code completion usage exceeded. Please try again tomorrow.,Daily AI Code completion usage exceeded. Please try again tomorrow.
Studio.App.ScriptingHostAppServices.ResponseChatFiltered,,No code suggestion received. Response was caught by the text filter.,No code suggestion received. Response was caught by the text filter.
Studio.App.ScriptingHostAppServices.NoSuggestionReceivedServerError1,,No code suggestion received. Server Error code: %1.,No code suggestion received. Server Error code: %1.
Studio.App.ScriptPickerDialog.CreateNewLinkedsource,,Create new LinkedSource,Create new LinkedSource
Studio.App.ScriptPickerDialog.LinkedsourceDescriptionLabel,,"LinkedSources can be referenced by scripts in your game, allowing you to update all of them at the same time.","LinkedSources can be referenced by scripts in your game, allowing you to update all of them at the same time."
Studio.App.ScriptPickerDialog.CanNotBeEmpty,,Name cannot be empty,Name cannot be empty
Studio.App.ScriptPickerDialog.AlreadyTaken,,Name already taken (not case sensitive),Name already taken (not case sensitive)
Studio.App.StudioScriptEditor.AICOLegalToast,,"<a href='#'>AI coding is available</a>, agree to the terms and conditions to try it out!","<a href='#'>AI coding is available</a>, agree to the terms and conditions to try it out!"
Studio.App.StudioScriptEditor.PerformanceBanner,,We have disabled some language features because this script is too long and it's affecting system performance. You can change this in Settings,We have disabled some language features because this script is too long and it's affecting system performance. You can change this in Settings
Studio.App.StudioScriptEditor.WaitingRemoteEvent,,Script Editor's read-only due to an unstable connection; it'll be editable again once stable.,Script Editor's read-only due to an unstable connection; it'll be editable again once stable.
Studio.App.StudioScriptEditor.LiveScriptingBannerEnabled,,"A collaborator has enabled LiveScripting after the server was started. To apply, all collaborators must leave the session so the server can restart. ","A collaborator has enabled LiveScripting after the server was started. To apply, all collaborators must leave the session so the server can restart. "
Studio.App.StudioScriptEditor.LiveScriptingBannerDisabled,,"A collaborator has disabled LiveScripting after the server was started. To apply, all collaborators must leave the session so the server can restart. ","A collaborator has disabled LiveScripting after the server was started. To apply, all collaborators must leave the session so the server can restart. "
Studio.App.StudioScriptEditor.LiveScriptingServerDefaultEnabled,,This place has been enrolled in the LiveScripting Beta. Now you can code with your team at the same time! <a href='#'>Learn more</a>,This place has been enrolled in the LiveScripting Beta. Now you can code with your team at the same time! <a href='#'>Learn more</a>
Studio.App.StudioScriptEditor.LiveScriptingEnableInDraftMode,,"LiveScripting doesn't work in Draft mode. If you want to try LiveScripting, please turn off Draft mode. <a href='#'>Learn more</a>","LiveScripting doesn't work in Draft mode. If you want to try LiveScripting, please turn off Draft mode. <a href='#'>Learn more</a>"
Studio.App.DragDrop.NameAndCount2,"An instance name and a count of how many of those instances are selected (when more than 1). For example, dragging three things named Folder will show as Folder (x3).",%1 (x%2),%1 (x%2)
Studio.App.DragDrop.Count1,"A count of instances selected when there is nothing similar between them. For example, selecting 3 random instances will show (x3)",(x%1),(x%1)
Studio.App.RbxWorkspace.PluginModerationCheckFailed,,Plugin moderation check failed,Plugin moderation check failed
Studio.App.RbxWorkspace.PluginInstallationFailed,,Plugin Installation failed,Plugin Installation failed
Studio.App.RbxWorkspace.TakeSnapshot,,Take Snapshot,Take Snapshot
Studio.App.RbxWorkspace.Processing,,Processing...,Processing...
Studio.App.RbxWorkspace.PressOkForSnapshot,,"Press OK when you've positioned the camera, and are ready to take a snapshot.","Press OK when you've positioned the camera, and are ready to take a snapshot."
Studio.App.RbxWorkspace.SnapshotInProgress,,Snapshot in progress...,Snapshot in progress...
Studio.App.PluginLoader.CloudLoadFailedFmt1,error fetching installed plugins from cloud,Failed to load installed plugins from cloud: %1,Failed to load installed plugins from cloud: %1
Studio.App.PluginLoader.CloudWriteFailedFmt1,error writing installed plugins to cloud,Failed to write installed plugins to cloud: %1,Failed to write installed plugins to cloud: %1
Studio.App.PluginLoader.CloudLoadPermissionsFailedFmt1,error fetching plugin permissions from cloud,Failed to load plugin permissions from cloud: %1,Failed to load plugin permissions from cloud: %1
Studio.App.PluginLoader.CloudWritePermissionsFailedFmt1,error writing plugin permissions to cloud,Failed to write plugin permissions to cloud: %1,Failed to write plugin permissions to cloud: %1
Studio.App.PluginLoader.RefreshingPluginElps,,Refreshing plugin...,Refreshing plugin...
Studio.App.PluginLoader.RefreshingPluginsElps,,Refreshing plugins...,Refreshing plugins...
Studio.App.PluginLoader.DownloadFailedFmt1,error downloading plugin,Failed to download plugin: %1,Failed to download plugin: %1
Studio.App.CommandBar.Command,,Command,Command
Studio.App.AIDiffMessage.ChangeSummary,,Change Summary,Change Summary
Studio.App.AIDiffMessage.ServerError,,"Network error, please try again later.","Network error, please try again later."
Studio.App.AIDiffMessage.QuotaLimit,,You have hit your quota limit for the day. Try sending a request tomorrow.,You have hit your quota limit for the day. Try sending a request tomorrow.
Studio.App.AIDiffMessage.RequestTimeout,,"Sorry, I'm experiencing a high volume of requests. Please try again later.","Sorry, I'm experiencing a high volume of requests. Please try again later."
Studio.App.AIDiffMessage.PromptLimit,,Looks like there are too many changes between these versions. Please try again with a simpler request.,Looks like there are too many changes between these versions. Please try again with a simpler request.
Studio.App.AIDiffMessage.UnknownError,,An error occurred. Please try again later.,An error occurred. Please try again later.
Studio.App.AIDiffMessage.NoChanges,,The package has no changes.,The package has no changes.
Studio.App.AIDiffMessage.StopGeneration,,Stop,Stop
Studio.App.PluginPermissionsDialog.ScriptInjectionPermission,,Do you want to allow Plugin %1 to manage scripts in your game?,Do you want to allow Plugin %1 to manage scripts in your game?
Studio.App.PluginPermissionsDialog.ScriptInjectionWarning,,"Plugin %1 is attempting to insert or modify scripts in your game. Click Allow to permit all future attempts, or Deny to block. You can edit these settings in Plugin Management.","Plugin %1 is attempting to insert or modify scripts in your game. Click Allow to permit all future attempts, or Deny to block. You can edit these settings in Plugin Management."
Studio.App.PluginPermissionsDialog.HttpDomainPermission,,Allow plugin %1 to access %2?,Allow plugin %1 to access %2?
Studio.App.PluginPermissionsDialog.Warning,,You can always revoke this permission from Plugins > Plugin Management.,You can always revoke this permission from Plugins > Plugin Management.
Studio.App.PluginPermissionsDialog.Deny,,Deny,Deny
Studio.App.PluginPermissionsDialog.Allow,,Allow,Allow
Studio.App.ScriptInjection.FirstDeniedError,,"Plugin ""%1"" was denied script injection permission. The user has been prompted for future attempts.","Plugin ""%1"" was denied script injection permission. The user has been prompted for future attempts."
Studio.App.ScriptInjection.DeniedError,,"Plugin ""%1"" was denied script injection permission. You can grant this permission in the Plugin Manager.","Plugin ""%1"" was denied script injection permission. You can grant this permission in the Plugin Manager."
Studio.App.CalloutController.PivotEditorCalloutTitle,,Pivot Editor,Pivot Editor
Studio.App.CalloutController.PivotEditorCalloutDescription,,Change the pivot point around which an object rotates and translates.,Change the pivot point around which an object rotates and translates.
Studio.App.CallStack.CallStack,Call Stack widgets,Call Stack,Call Stack
Studio.App.GUAC.UserFriendlyFailedToFetch,Show user some error message in the case of no internet during startup.,No internet connection. Check your network and try opening Studio again.,No internet connection. Check your network and try opening Studio again.
Studio.App.AudioPrivacyCheck.GrantPermissionUserFailure3,"Appears in output window when permission granting fails. %1 is replaced by universe id, %2 is replaced by assed id and %3 is replaced by user id.",Your User ID %3 is not authorized to grant asset permissions. Failed to grant the Universe %1 permission to use asset %2.,Your User ID %3 is not authorized to grant asset permissions. Failed to grant the Universe %1 permission to use asset %2.
Studio.App.DebuggerViewsManager.Watch,,Watch,Watch
Studio.App.DebuggerViewsManager.Breakpoints,,Breakpoints,Breakpoints
Studio.App.RobloxStudio.OutOfDateReinstall1,,The version of Roblox Studio is out of date. Please close all instances and reinstall from %1,The version of Roblox Studio is out of date. Please close all instances and reinstall from %1
Studio.App.RobloxStudio.ChannelOutOfDateReinstall1,,"This is an expired channel build. To move back to latest production Roblox Studio, please close all instances, unenroll your user from the channel, and reinstall from %1","This is an expired channel build. To move back to latest production Roblox Studio, please close all instances, unenroll your user from the channel, and reinstall from %1"
Studio.App.RobloxStudio.FailToLoadRequiredDLLs1,,Failed to locate some required DLLs. Please close all instances and reinstall Roblox Studio from %1,Failed to locate some required DLLs. Please close all instances and reinstall Roblox Studio from %1
Studio.App.StudioServiceHost.ConvertToPackageFailed,,Convert to package failed.,Convert to package failed.
Studio.App.DiagnosticBar.VRDevice1,"Text that displays which vr headset is currently connected or if no headset is connected. The argument should be the name of the vr device: Vive, Index, Oculus, or others.",VR Device: %1,VR Device: %1
Studio.App.DiagnosticBar.VRDeviceNotDetected,Text when no Virtual Reality headset is detected,None Detected,None Detected
Studio.App.RESTRICTED.QtUtilities.DontAskMeAgain,,Don't ask me again,Don't ask me again
Studio.App.RESTRICTED.QtUtilities.DisabledDuringTesting,,Disabled during testing,Disabled during testing
Studio.App.PlaceResourceController.ErrorWhileAddingPlace,,Error while adding place. See Output window for details.,Error while adding place. See Output window for details.
Studio.App.PlaceResourceController.ThisFunctionalityHasBeenDisabled,,This functionality has been disabled. You can update your start place by doing File > Publish to Roblox As... and selecting the start place.,This functionality has been disabled. You can update your start place by doing File > Publish to Roblox As... and selecting the start place.
Studio.App.PlaceResourceController.CantRemoveStartPlace,,You cannot remove the start place from a game.,You cannot remove the start place from a game.
Studio.App.PlaceResourceController.AddingPlace,,Adding Place...,Adding Place...
Studio.App.CommitScriptsDialog.CommitButtonText,,Commit,Commit
Studio.App.CommitScriptsDialog.Title,,Commit Scripts,Commit Scripts
Studio.App.CommitScriptsDialog.CommitMessagePlaceHolderText,,"Add a comment to describe what changed.
<Ctrl Enter> To commit.","Add a comment to describe what changed.
<Ctrl Enter> To commit."
Studio.App.CommitScriptsDialog.ScriptSectionHeader,,Script,Script
Studio.App.ExternalLoginDialog.MessageOnDialogClose,,Are you sure you want to close this window? This will close Roblox Studio.,Are you sure you want to close this window? This will close Roblox Studio.
Studio.App.ResetModifiedProperty1,Menu action to reset a property to its default,Reset %1 to Default,Reset %1 to Default
Studio.App.Physics.ProcessingAeroMeshes,Shown during aerodynamic mesh generation,Processing aerodynamic meshes,Processing aerodynamic meshes
Studio.App.Physics.AeroMeshPleaseWait,Waiting for aerodynamic mesh generation to complete,Please Wait,Please Wait
Studio.App.UniverseController.FailedToLoadGameAssets,,"Failed to load game assets, some Studio features have been disabled.","Failed to load game assets, some Studio features have been disabled."
Studio.App.UniverseController.CanAddToGame,,This place does not belong to a game. You can add it to a game by going to a game's configuration page on the website.,This place does not belong to a game. You can add it to a game by going to a game's configuration page on the website.
Studio.App.UniverseController.PermissionDenied,,Unable to load universe. Permission denied.,Unable to load universe. Permission denied.
Studio.App.UniverseController.ThisPlaceDoesNotBelongToAGame,,This place does not belong to a game.,This place does not belong to a game.
Studio.App.EntityProperties.NetworkFailedOperation,,"Operation failed. Please check your network connection and try again. If the error persists, contact Customer Support","Operation failed. Please check your network connection and try again. If the error persists, contact Customer Support"
Studio.App.PlaceWebFactory.ErrorGettingMetadataForPlace,,Error getting metadata for related place,Error getting metadata for related place
Studio.App.PlaceWebFactory.UnableToGetPlaceIdFromPlaceMetadata,,Unable to get place id from place metadata,Unable to get place id from place metadata
Studio.App.AutoSave.AutoSaveRecovery,,Auto-Save Recovery,Auto-Save Recovery
Studio.App.ClientServerToggleFTUE.ToggleClientServerMode,,Click on the icon to toggle between client and server mode while testing,Click on the icon to toggle between client and server mode while testing
Studio.App.ClientServerToggleFTUE.ClientServerToggle,,Client/Server Toggle,Client/Server Toggle
Studio.App.ShareModalController.CheckOutMyGame,,Check out my game!,Check out my game!
Studio.App.ShareModalController.CheckOutThisGame,,Check out this game!,Check out this game!
Studio.App.ShareModalController.Offline,,Offline,Offline
Studio.App.ShareModalController.Online,,Online,Online
Studio.App.AboutStudioDialog.AmongRegisteredTrademarks,Replacement of Studio.App.MainWindow.AmongRegisteredTrademarks2 without contact us hyper link,"<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries.","<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries."
Studio.App.AboutStudioDialog.ContactUs,Hyper link for contacting Roblox support,Contact Us,Contact Us
Studio.App.AboutStudioDialog.PrivacyPolicy,Hyper link for privacy policy,Privacy Policy,Privacy Policy
Studio.App.AboutStudioDialog.UpdatesNotAvailableForBuild,,Updates not available for this build,Updates not available for this build
Studio.App.Diagnostics.LowOnMemory,This is shown as title text for a dialog that is displayed to the user when Studio is running low on memory.,Studio is low on memory.,Studio is low on memory.
Studio.App.Diagnostics.Restart,This is text for a button that is shown to the user to let them restart Studio,Restart,Restart
Studio.App.Diagnostics.Continue,This is text for a button that is shown to the user to let them continue running Studio and not restart,Continue,Continue
Studio.App.Diagnostics.LowMemoryActionWarning,This message is shown to users when Studio detects that the user is low on memory. Studio will offer the user the option to restart or continue what they were trying to do.,Studio may become unstable and the attempted operation may not succeed. Would you like to restart or continue the operation?,Studio may become unstable and the attempted operation may not succeed. Would you like to restart or continue the operation?
Studio.App.LinkedSourceMigrator.Title,,LinkedSource Migrator,LinkedSource Migrator
Studio.App.LinkedSourceMigrator.Description,,"LinkedSources are being deprecated, do you want to convert them?","LinkedSources are being deprecated, do you want to convert them?"
Studio.App.LinkedSourceMigrator.Details,,These LinkedSource scripts will be converted to embedded scripts:,These LinkedSource scripts will be converted to embedded scripts:
Studio.App.LinkedSourceMigrator.MigrateButton,,Convert,Convert
Studio.App.LinkedSourceMigrator.FailedDescription,,"These LinkedSources failed to load and have not been migrated, please try again later:","These LinkedSources failed to load and have not been migrated, please try again later:"
Studio.App.StudioUtilities.LogInRequired,,Log in required,Log in required
Studio.App.StudioUtilities.YouMustLogInToPerformThisAction,,You must log in to perform this action!,You must log in to perform this action!
Studio.App.StudioUtilities.UnableToOpenCorruptedModel1,,"Unable to open model ""%1"". The file is corrupted.","Unable to open model ""%1"". The file is corrupted."
Studio.App.StudioUtilities.CannotInsertAtThisTime,,Can't insert at this time.,Can't insert at this time.
Studio.App.StudioUtilities.InsertInstanceFailed,,Insert instance failed.,Insert instance failed.
Studio.App.UpdateNotifications.InChannel,,In Channel,In Channel
Studio.App.UpdateNotifications.InChannelToolTipFmt1,,Channel: %1,Channel: %1
Studio.App.OSVersionWarning.MacOS1010,,Beginning in November 2020 we will be discontinuing support for MacOS 10.10. Please upgrade to MacOS 10.11+ to continue to use Roblox Studio.,Beginning in November 2020 we will be discontinuing support for MacOS 10.10. Please upgrade to MacOS 10.11+ to continue to use Roblox Studio.
Studio.App.OSVersionWarning.MacOS109,,Beginning in November 2019 we will be discontinuing support for MacOS 10.9. Please upgrade to MacOS 10.10+ to continue to use Roblox Studio.,Beginning in November 2019 we will be discontinuing support for MacOS 10.9. Please upgrade to MacOS 10.10+ to continue to use Roblox Studio.
Studio.App.OSVersionWarning.LearnMore,Appears on a popup that warns users they are using an OS version that will soon no longer be supported. Links to a page with more information.,Learn More,Learn More
Studio.App.Updates.UpdateAvailableTitle,,Update Available,Update Available
Studio.App.Updates.UpdateAvailableMessage,,Do you want to restart Studio and update now?,Do you want to restart Studio and update now?
Studio.App.Updates.UpdateNowButton,,Update Now,Update Now
Studio.App.Updates.SnoozeButton,,Snooze,Snooze
Studio.App.Updates.ShutdownPromptButton,Button name in 'Are you sure you want to shut down Studio for update? [Shutdown] [Cancel]',Shutdown,Shutdown
Studio.App.Updates.ShutdownConfirmationText,,There is a new Studio update available. Shutdown to update?,There is a new Studio update available. Shutdown to update?
Studio.App.Updates.UpdateAvailableToast,,A new version of Studio is available,A new version of Studio is available
Studio.App.Updates.UpdateAvailableButton,,Update Available,Update Available
Studio.App.DraggerModeSettings.DragMode,The title for the setting that toggles current dragging mode of the select action (it toggles between Geometric and Physical),Drag Mode,Drag Mode
Studio.App.MoveGridSettings.MoveGridSize,"The title of the setting for the size (in studs) of the grid that the move action will snap to. Default is 4, but can be fractional (1.2) as well",Move Grid Size,Move Grid Size
Studio.App.RotateGridSettings.RotateGridSize,The title of the setting for the size (in degrees) of the angle that rotating object will snap to. Default is 90deg but can be any value between 1 and 360,Rotate Grid Size,Rotate Grid Size
Studio.App.InsertServiceDialog.Done,,Done,Done
Studio.App.InsertServiceDialog.InsertService,,Insert Service,Insert Service
Studio.App.InsertServiceAction.DEPRECATEDShowServicesElps,,Show Services...,Show Services...
Studio.App.InsertServiceAction.DEPRECATEDHideService,,Hide Service in Explorer,Hide Service in Explorer
Studio.App.InsertServiceAction.ShowServicesElps,,Show Services...,Show Services...
Studio.App.InsertServiceAction.HideService,,Hide Service in Explorer,Hide Service in Explorer
Studio.App.AudioPrivacyPublishDialog.PublishWithoutPermissionButton,warning modal button that publishes game without granting permission,Publish without Granting,Publish without Granting
Studio.App.AudioPrivacyPublishDialog.PublishAndGrantPermissionButton,warning modal button that grants the universe permission to all assets in the game during publish,Grant Permissions,Grant Permissions
Studio.App.Parts.SurfaceTooltip,tooltip,"Pick a surface type, and click on part surfaces to apply","Pick a surface type, and click on part surfaces to apply"
Studio.App.Parts.Surface,Parts menu,Surface,Surface
Studio.App.BulkImport.Collapse,Bulk importer,Collapse,Collapse
Studio.App.BulkImport.Expand,Bulk importer,Expand,Expand
Studio.App.BulkImport.CloseWindow,Bulk importer,Close Window,Close Window
Studio.App.BulkImport.Import,Bulk importer,Import,Import
Studio.App.BulkImport.Completed,Bulk importer,Completed,Completed
Studio.App.BulkImport.ProgressFmt2,Bulk importer,Imported %1 of %2 files,Imported %1 of %2 files
Studio.App.BulkImport.CancelImport,Bulk importer,Cancel Import,Cancel Import
Studio.App.BulkImport.ClearWindow,Bulk importer,Clear Window,Clear Window
Studio.App.InsertObjectWidget.FavoritesCategory,,Frequently Used,Frequently Used
Studio.App.InsertObjectWidget.SeeAllButton,,See All,See All
Studio.App.InsertObjectWidget.ShowRecommendedOnly,,Show only recommended objects,Show only recommended objects
Studio.App.InsertObjectWidget.SelectInsertedObject,,Select object after insert,Select object after insert
Studio.App.InsertObjectWidget.UnpreferredObjectTooltip,,This object does not make sense under the currently selected parent.,This object does not make sense under the currently selected parent.
Studio.App.InsertObjectWidget.EmptyFrequentlyUsedList,,Objects are not usually inserted under this parent.,Objects are not usually inserted under this parent.
Studio.App.InsertObjectWidget.NoResultsFound,,No Results Found,No Results Found
Studio.App.InsertObjectWidget.ExpandTooltip,,Toggle expanded view,Toggle expanded view
Studio.App.RobloxGameExplorer.LoadingElps,,Loading...,Loading...
Studio.App.RobloxGameExplorer.PublishToLoad,,Publish this place to load game data,Publish this place to load game data
Studio.App.RobloxGameExplorer.PublishToLoadClick,,Publish this place to load game data (double click here),Publish this place to load game data (double click here)
Studio.App.ScriptAnalysisWidget.ErrorDisplayToggle,,Toggle lint error display,Toggle lint error display
Studio.App.ScriptAnalysisWidget.WarningDisplayToggle,,Toggle lint warning display,Toggle lint warning display
Studio.App.ScriptAnalysisWidget.DisplayOnlyCurrentScript,,Display only current script,Display only current script
Studio.App.ScriptAnalysisWidget.NumErrorsTextFmt2,,%1 of %2 Errors,%1 of %2 Errors
Studio.App.ScriptAnalysisWidget.NumWarningsTextFmt2,,%1 of %2 Warnings,%1 of %2 Warnings
Studio.App.ScriptAnalysisWidget.NumInformationTextFmt2,,%1 of %2 Information,%1 of %2 Information
Studio.App.ScriptAnalysisWidget.NumHintsTextFmt2,,%1 of %2 Hints,%1 of %2 Hints
Studio.App.WhatsNewWindow.HttpFailure,,Unable to retrieve Whats New Updates from the DevForums page,Unable to retrieve Whats New Updates from the DevForums page
Studio.App.WhatsNewWindow.PopupGotIt,,Got it,Got it
Studio.App.AutocompleteTooltip.FunctionNumberLabelTextFmt2,,%1 of %2,%1 of %2
Studio.App.AutocompleteMenu.MoreChildrenItemTextFmt1,,%1 more children...,%1 more children...
Studio.App.MeshPartLOD.Info1,MeshPart renderFidelity property selector,Finished simplifying %1 mesh parts,Finished simplifying %1 mesh parts
Studio.App.MeshPartLOD.Warning1,MeshPart renderFidelity property selector,Mesh Publish failure for asset id %1,Mesh Publish failure for asset id %1
Studio.App.MeshPartLOD.FidelityWarning1,MeshPart renderFidelity property selector,Failed to change renderFidelity for asset id %1,Failed to change renderFidelity for asset id %1
Studio.App.MeshPartLOD.NotEnoughFacesInfo1,MeshPart renderFidelity property selector,Asset id %1 has too few triangles for renderFidelity to be set to Automatic or Performance,Asset id %1 has too few triangles for renderFidelity to be set to Automatic or Performance
Studio.App.OnPublishDialog.Title,,Publish,Publish
Studio.App.OnPublishDialog.BasicSettings,,Basic Settings,Basic Settings
Studio.App.OnPublishDialog.Name,,Name:,Name:
Studio.App.OnPublishDialog.Description,,Description:,Description:
Studio.App.OnPublishDialog.Genre,,Genre:,Genre:
Studio.App.OnPublishDialog.Privacy,,Privacy:,Privacy:
Studio.App.AudioImportConfirmationDialog.NoFilesAvailable,,No files available,No files available
Studio.App.AudioImportConfirmationDialog.ConfirmAudioImport,,Confirm Audio Import,Confirm Audio Import
Studio.App.DataModelPackageManager.InsufficientPermissions,,Unable to retrieve Packages status because of insufficient permissions. You may be unable to publish this place,Unable to retrieve Packages status because of insufficient permissions. You may be unable to publish this place
Studio.App.DataModelPackageManager.PrimaryPartRemoved,,PrimaryPart removed. You won't be able to publish this Package until you set the PrimaryPart again.,PrimaryPart removed. You won't be able to publish this Package until you set the PrimaryPart again.
Studio.App.DataModelPackageManager.PackageFailedToAutoUpdate1,,%1 failed to auto-update.,%1 failed to auto-update.
Studio.App.DataModelPackageManager.DonTNotifyMeAgain,,Don't notify me again,Don't notify me again
Studio.App.DataModelPackageManager.UnexpectedPlacementNewVersions,,Changing the PrimaryPart may result in unexpected placement when you get new versions. Make sure the new PrimaryPart is where you want your Package to update from.,Changing the PrimaryPart may result in unexpected placement when you get new versions. Make sure the new PrimaryPart is where you want your Package to update from.
Studio.App.UIEditorWidget.ZoomOutButton,,-,-
Studio.App.UIEditorWidget.ZoomInButton,,+,+
Studio.App.TeamCreateConnectionDialog.YouHaveLostConnectionToTheServer,,You have lost connection to the server. Trying to reconnect...<br><br>Recent copy of the place has been saved. <a href='openautosave://file'>Click here</a> to open the saved place.,You have lost connection to the server. Trying to reconnect...<br><br>Recent copy of the place has been saved. <a href='openautosave://file'>Click here</a> to open the saved place.
Studio.App.ScriptResourceController.ConfirmWillDestroyChanges,,This will destroy all local changes you have made. Are you sure?,This will destroy all local changes you have made. Are you sure?
Studio.App.ScriptResourceController.ConfirmPublishChanges,,Are you sure you want to publish your changes?,Are you sure you want to publish your changes?
Studio.App.MeshResourceController.MeshReferencedByName,,"Meshes are referenced by name, so any references to this mesh will fail to load. Are you sure you want to remove it?","Meshes are referenced by name, so any references to this mesh will fail to load. Are you sure you want to remove it?"
Studio.App.LockedScriptsVersionHistory.ApplyEditsRejectedTitle,,Script Apply Edits Failure,Script Apply Edits Failure
Studio.App.LockedScriptsVersionHistory.CommitRejected,,"Some of the scripts cannot be saved.
Please check their status.","Some of the scripts cannot be saved.
Please check their status."
Studio.App.LockedScriptsVersionHistory.CommitRejectedInternalError,,"Server rejected apply edits due to internal error.
Please try again later","Server rejected apply edits due to internal error.
Please try again later"
Studio.App.LockedScriptsVersionHistory.CommitRejectedInProgress,,"Server rejected apply edits.
Someone else is saving changes.","Server rejected apply edits.
Someone else is saving changes."
Studio.App.LockedScriptsVersionHistory.AutoGeneratedCommitFmt1,,Applied edits to %1 script(s),Applied edits to %1 script(s)
Studio.App.LockedScriptsVersionHistory.ApplyingEditsNotification1,,Applying edits from %1...,Applying edits from %1...
Studio.App.LockedScriptsVersionHistory.ApplyingEditsBatchNotification1,,Applying edits from %1 scripts...,Applying edits from %1 scripts...
Studio.App.LockedScriptsVersionHistory.ApplyingEditsBatchNotification2,,Applying edits from %1 and %2 more scripts...,Applying edits from %1 and %2 more scripts...
Studio.App.LockedScriptsVersionHistory.ApplyingEditsOnPlaceClose,,Applying script changes. Studio will close automatically when complete,Applying script changes. Studio will close automatically when complete
Studio.App.OpenIDEDocErr.CloudEditConnectCancelledByUser.Concise,,The connection was cancelled. ,The connection was cancelled. 
Studio.App.OpenIDEDocErr.HTTPCallFailed.Concise,,Please check that you are connected to the internet and try again. ,Please check that you are connected to the internet and try again. 
Studio.App.OpenIDEDocErr.Others.Concise,,Please restart your application and try again. ,Please restart your application and try again. 
Studio.App.OpenIDEDocErr.CloudEditConnectCancelledByUser,,User cancelled cloud edit connection.,User cancelled cloud edit connection.
Studio.App.OpenIDEDocErr.HTTPCallFailed,,"User unable to open the place. Please check that you are connected to the internet and try again. If you continue to encounter this error, please contact customer service.","User unable to open the place. Please check that you are connected to the internet and try again. If you continue to encounter this error, please contact customer service."
Studio.App.OpenIDEDocErr.Others,,"Unable to open the place. Please restart your application and try again. If you continue to encounter this error, please contact customer service.","Unable to open the place. Please restart your application and try again. If you continue to encounter this error, please contact customer service."
