Key,Context,Source,en-us
Studio.App.BetaFeatures.AnimationCompositorDescription,,"Enables the new Lua based Animation APIs and the frameworks surrounding them. With this new feature, you can now define richer composition of clip-based and procedural animations using the new Lua Animation Library, and use the new ""Compositor Debugger"" plugin. Opting into the beta will also upgrade the default Animate script with a refactored version that uses this new system and adds new default procedural behaviors.","Enables the new Lua based Animation APIs and the frameworks surrounding them. With this new feature, you can now define richer composition of clip-based and procedural animations using the new Lua Animation Library, and use the new ""Compositor Debugger"" plugin. Opting into the beta will also upgrade the default Animate script with a refactored version that uses this new system and adds new default procedural behaviors."
Studio.App.BetaFeatures.BetaFeatures,title for Beta Features feature,Beta Features,Beta Features
Studio.App.BetaFeatures.LegalDisclaimerTitle,legal disclaimer shown after enabling beta feature,Terms and Conditions,Terms and Conditions
Studio.App.BetaFeatures.AICOTermsAndConditions,terms and conditions for being able to use ai-assisted scripting,"Roblox provides the Code Generator tool (the ""Tool"") as an option to [enhance and support your creativity in Studio]. TO USE THE TOOL, YOU MUST ACCEPT AND AGREE TO THE BELOW. IF YOU DO NOT AGREE, YOU MUST NOT USE THE TOOL.
As reminder, the Tool is part of the ""Services"" as defined in the Roblox Terms of Use (the ""Terms""). Accordingly, your use of the Services is subject to the Terms, including the Creator Terms and the Roblox Community Standards, and, among other things, you must (i) use the Tool in a lawful manner and in compliance with all applicable laws, (ii) not reverse engineer, disassemble, decompile, or otherwise attempt to derive or gain access to the Tool; and (iii) use the Tool in a manner that does not infringe or attempt to infringe, misappropriate or otherwise violate any rights of Roblox or any other person or entity.
Due to its nature, the Tool may generate incorrect, misleading, offensive, or other information that is not useful for your purposes and that may be the same, similar, or different among users. The Tool is not intended to provide factual information or advice. ACCORDINGLY, YOUR USE OF THE TOOL IS AT YOUR OWN RISK, AND THE TOOL IS PROVIDED ""AS IS"" AND WITHOUT CONDITION, WARRANTY, GUARANTEE OR REPRESENTATION OF ANY KIND, EXPRESS OR IMPLIED (INCLUDING WITHOUT LIMITATION, ANY WARRANTY OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, NON-INFRINGEMENT, OR ERROR-FREE OR UNINTERRUPTED USE OF THE SERVICE). ROBLOX MAKES NO WARRANTY ABOUT CONTENT OR INFORMATION ACCESSIBLE THROUGH OR FROM THE TOOL, AND EXPRESSSLY DISCLAIMS THAT ANY DATA, CONTENT OR INFORMATION RESULTING FROM OR RELATED TO YOUR USE OF THE TOOL IS ACCURATE OR CAN OR SHOULD BE RELIED UPON BY YOU FOR ANY PURPOSE.
The model is trained on no private developer data and uses only public marketplace assets.","Roblox provides the Code Generator tool (the ""Tool"") as an option to [enhance and support your creativity in Studio]. TO USE THE TOOL, YOU MUST ACCEPT AND AGREE TO THE BELOW. IF YOU DO NOT AGREE, YOU MUST NOT USE THE TOOL.
As reminder, the Tool is part of the ""Services"" as defined in the Roblox Terms of Use (the ""Terms""). Accordingly, your use of the Services is subject to the Terms, including the Creator Terms and the Roblox Community Standards, and, among other things, you must (i) use the Tool in a lawful manner and in compliance with all applicable laws, (ii) not reverse engineer, disassemble, decompile, or otherwise attempt to derive or gain access to the Tool; and (iii) use the Tool in a manner that does not infringe or attempt to infringe, misappropriate or otherwise violate any rights of Roblox or any other person or entity.
Due to its nature, the Tool may generate incorrect, misleading, offensive, or other information that is not useful for your purposes and that may be the same, similar, or different among users. The Tool is not intended to provide factual information or advice. ACCORDINGLY, YOUR USE OF THE TOOL IS AT YOUR OWN RISK, AND THE TOOL IS PROVIDED ""AS IS"" AND WITHOUT CONDITION, WARRANTY, GUARANTEE OR REPRESENTATION OF ANY KIND, EXPRESS OR IMPLIED (INCLUDING WITHOUT LIMITATION, ANY WARRANTY OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, NON-INFRINGEMENT, OR ERROR-FREE OR UNINTERRUPTED USE OF THE SERVICE). ROBLOX MAKES NO WARRANTY ABOUT CONTENT OR INFORMATION ACCESSIBLE THROUGH OR FROM THE TOOL, AND EXPRESSSLY DISCLAIMS THAT ANY DATA, CONTENT OR INFORMATION RESULTING FROM OR RELATED TO YOUR USE OF THE TOOL IS ACCURATE OR CAN OR SHOULD BE RELIED UPON BY YOU FOR ANY PURPOSE.
The model is trained on no private developer data and uses only public marketplace assets."
Studio.App.BetaFeatures.LegalDisclaimerBottomHeader,,Do you accept the Terms and Conditions?,Do you accept the Terms and Conditions?
Studio.App.BetaFeatures.TryCoolFeaturesWithWarning,,Try out cool new features before they are released to everyone! Please be aware that Beta features could be unstable. Your feedback is invaluable to us as we move towards building the imagination platform.,Try out cool new features before they are released to everyone! Please be aware that Beta features could be unstable. Your feedback is invaluable to us as we move towards building the imagination platform.
Studio.App.BetaFeatures.SelectFeaturesToActivate,,Select beta features to activate,Select beta features to activate
Studio.App.BetaFeatures.Details,,Details,Details
Studio.App.BetaFeatures.LearnMoreTooltip,,Learn More,Learn More
Studio.App.BetaFeatures.AutoEnrollmentToggleLabel,,Auto-Enable Upcoming Features,Auto-Enable Upcoming Features
Studio.App.BetaFeatures.AutoEnrollmentToggleTooltip,,New Beta Features Will Automatically Be Activated,New Beta Features Will Automatically Be Activated
Studio.App.BetaFeatures.NewFeaturesForChannelUserWarning1,,"New beta features have been automatically enabled above as you are enrolled in Beta Channel. You must restart Studio for them to be activated. <a href=""%1"">Restart Now</a>","New beta features have been automatically enabled above as you are enrolled in Beta Channel. You must restart Studio for them to be activated. <a href=""%1"">Restart Now</a>"
Studio.App.BetaFeatures.CouldBeUnstable,,Note: Beta features could be unstable resulting in data loss or game corruption,Note: Beta features could be unstable resulting in data loss or game corruption
Studio.App.BetaFeatures.CSGv2SmoothingTitle,,Normal smoothing Beta,Normal smoothing Beta
Studio.App.BetaFeatures.CSGv2SmoothingDescription,,Use the SmoothAngle property on CSG part to define threshold angle and smooth normals.,Use the SmoothAngle property on CSG part to define threshold angle and smooth normals.
Studio.App.BetaFeatures.AssetManagerTitle,,Asset Manager,Asset Manager
Studio.App.BetaFeatures.AssetManagerDescription,,"Manage your assets in a brand new widget, with new features. This replaces the Game Explorer.","Manage your assets in a brand new widget, with new features. This replaces the Game Explorer."
Studio.App.BetaFeatures.AutoUpdateTitle,,Auto Update on Packages,Auto Update on Packages
Studio.App.BetaFeatures.AutoUpdateDescription,,Adds an option to automatically update a package when a newer package is available,Adds an option to automatically update a package when a newer package is available
Studio.App.BetaFeatures.AvatarLoadingBetaTitle,,New Avatar Loading Signal Ordering,New Avatar Loading Signal Ordering
Studio.App.BetaFeatures.AvatarLoadingBetaDescription,,Improves the ordering of events fired when avatars are loaded to be more consistent and easier for developers to use,Improves the ordering of events fired when avatars are loaded to be more consistent and easier for developers to use
Studio.App.BetaFeatures.SaveToCloudV2Title,,New Games in the Cloud,New Games in the Cloud
Studio.App.BetaFeatures.SaveToCloudV2Description,,Create new games in the cloud automatically.,Create new games in the cloud automatically.
Studio.App.BetaFeatures.PackagePermissionsTitle,,Packages Permissions,Packages Permissions
Studio.App.BetaFeatures.PackagePermissionsDescription,,"Add any group, user, or role as a user or editor for your packages through the Package Management action in Game Explorer","Add any group, user, or role as a user or editor for your packages through the Package Management action in Game Explorer"
Studio.App.BetaFeatures.WhatsNewWindowTitle,,New Updates Window,New Updates Window
Studio.App.BetaFeatures.WhatsNewWindowDescription,,Open up a scrolling window that shows all of the recent updates to Roblox Studio,Open up a scrolling window that shows all of the recent updates to Roblox Studio
Studio.App.BetaFeatures.SurfaceJoinChangesTitle,,Surface Join Behavior Change,Surface Join Behavior Change
Studio.App.BetaFeatures.SurfaceJoinChangesDescription,,"Remove the 'Surface' Join Mode, all surfaces create ManualWelds.","Remove the 'Surface' Join Mode, all surfaces create ManualWelds."
Studio.App.BetaFeatures.PhysicsSleepImprovementsTitle,,Physics Sleep Behavior Improvements.,Physics Sleep Behavior Improvements.
Studio.App.BetaFeatures.PhysicsSleepImprovementsDescription,,Set of changes that should make simulated parts awake and fall asleep more reliably.,Set of changes that should make simulated parts awake and fall asleep more reliably.
Studio.App.BetaFeatures.PhysicsNewConvexDecompositionTitle,,Enable CollisionFidelity.PreciseConvexDecomposition.,Enable CollisionFidelity.PreciseConvexDecomposition.
Studio.App.BetaFeatures.PhysicsNewConvexDecompositionDescription,,"Enable the new CollisionFidelity, which uses a method called HACD to generate collision geometry with precise surfaces.","Enable the new CollisionFidelity, which uses a method called HACD to generate collision geometry with precise surfaces."
Studio.App.BetaFeatures.AnimationEditorTitle,,Animation Editor Beta,Animation Editor Beta
Studio.App.BetaFeatures.AnimationEditorDescription,,Enables the new Beta version of the Animation Editor.,Enables the new Beta version of the Animation Editor.
Studio.App.BetaFeatures.AsyncPublishTitle,,Async Publish Beta,Async Publish Beta
Studio.App.BetaFeatures.AsyncPublishDescription,,Keep working in Studio as we publish in the background,Keep working in Studio as we publish in the background
Studio.App.BetaFeatures.NewScriptFoldStateTitle,,Script Editor Folds Behavior Beta,Script Editor Folds Behavior Beta
Studio.App.BetaFeatures.NewScriptFoldStateDescription,,Enables new improved behavior for code folding in the Script Editor.,Enables new improved behavior for code folding in the Script Editor.
Studio.App.BetaFeatures.InsertObjectStreamliningTitle,,Insert Object Streamlining,Insert Object Streamlining
Studio.App.BetaFeatures.InsertObjectStreamliningDescription,,Enables a new unified workflow for inserting objects.,Enables a new unified workflow for inserting objects.
Studio.App.BetaFeatures.ConvertToTerrainTitle,,TerrainTools: ConvertTool Beta,TerrainTools: ConvertTool Beta
Studio.App.BetaFeatures.ConvertToTerrainDescription,,Enables the Convert TerrainTool which can convert Parts into Terrain materials and biomes.,Enables the Convert TerrainTool which can convert Parts into Terrain materials and biomes.
Studio.App.BetaFeatures.ClarifiedIKDraggersTitle,,New Physical Draggers,New Physical Draggers
Studio.App.BetaFeatures.ClarifiedIKDraggersDescription,,Enables a new clarified UI for IK/Constraint/Physical draggers and adds a new behavior to the select dragger when in Physical mode,Enables a new clarified UI for IK/Constraint/Physical draggers and adds a new behavior to the select dragger when in Physical mode
Studio.App.BetaFeatures.AutomaticSizeTitle,,Automatic Size Beta,Automatic Size Beta
Studio.App.BetaFeatures.AutomaticSizeDescription,,UI object property that automatically sizes objects based on their child content.,UI object property that automatically sizes objects based on their child content.
Studio.App.BetaFeatures.AttributesUITitle,,Attributes Beta,Attributes Beta
Studio.App.BetaFeatures.AttributesUIDescription,,Customize instances with your own data,Customize instances with your own data
Studio.App.BetaFeatures.ScriptEditorTitle,,Script Editor Beta Features,Script Editor Beta Features
Studio.App.BetaFeatures.ScriptEditorDescription,,Customizable Semantic Highlighting and Temporary tabs that open Scripts in preview mode by default.,Customizable Semantic Highlighting and Temporary tabs that open Scripts in preview mode by default.
Studio.App.BetaFeatures.ScriptEditorHoverTitle,,Luau-Powered Type Hover,Luau-Powered Type Hover
Studio.App.BetaFeatures.ScriptEditorHoverDescription,,"(! Works better with ""Scripts Are Non-Strict By Default"" Beta Feature ON !) Displays Luau type information when hovering over code in the script editor.","(! Works better with ""Scripts Are Non-Strict By Default"" Beta Feature ON !) Displays Luau type information when hovering over code in the script editor."
Studio.App.BetaFeatures.ScriptEditorLintTitle,,Script Editor Linting,Script Editor Linting
Studio.App.BetaFeatures.ScriptEditorLintDescription,,Script Analysis Widget and linting logic get an upgrade! No major changes but many bug fixes and more intuitive behavior.,Script Analysis Widget and linting logic get an upgrade! No major changes but many bug fixes and more intuitive behavior.
Studio.App.BetaFeatures.UIStrokeTitle,,UIStroke Component,UIStroke Component
Studio.App.BetaFeatures.UIStrokeDescription,,"Enables the UIStroke instance, which adds highly customizable borders around the edges of text and UI objects.","Enables the UIStroke instance, which adds highly customizable borders around the edges of text and UI objects."
Studio.App.BetaFeatures.TerrainHeightmapImporterTitle,,Heightmaps 2,Heightmaps 2
Studio.App.BetaFeatures.TerrainHeightmapImporterDescription,,Instantly generate heightmaps from high-res (up to 4k) and high-bit-depth (16-bit) PNGs,Instantly generate heightmaps from high-res (up to 4k) and high-bit-depth (16-bit) PNGs
Studio.App.BetaFeatures.LSPGoToDeclTitle,,Luau-Powered Go To Declaration,Luau-Powered Go To Declaration
Studio.App.BetaFeatures.LSPGoToDeclDescription,,"(! Works better with ""Scripts Are Non-Strict By Default"" Beta Feature ON !) Luau type inference now powers the Go To Declaration feature in Script Editor, enhancing performance and reliability.","(! Works better with ""Scripts Are Non-Strict By Default"" Beta Feature ON !) Luau type inference now powers the Go To Declaration feature in Script Editor, enhancing performance and reliability."
Studio.App.BetaFeatures.LSPNewFunctionFilterTitle,,Luau-Powered Script Function Filter,Luau-Powered Script Function Filter
Studio.App.BetaFeatures.LSPNewFunctionFilterDescription,,"(! Works better with ""Scripts Are Non-Strict By Default"" Beta Feature ON !) Luau type inference now powers the Script Function Filter feature in Script Editor, adding type information to the widget while enhancing performance and reliability.","(! Works better with ""Scripts Are Non-Strict By Default"" Beta Feature ON !) Luau type inference now powers the Script Function Filter feature in Script Editor, adding type information to the widget while enhancing performance and reliability."
Studio.App.BetaFeatures.LSPLuauScriptEditorTitle,,Luau-Powered Autocomplete & Language Features,Luau-Powered Autocomplete & Language Features
Studio.App.BetaFeatures.LSPLuauScriptEditorDescription,,"Luau type inference now powers Autocomplete, Go To Declaration, Linting and the Script Function Filter in Script Editor, enhancing performance and reliability of all features. Autocomplete can now offer suggestions based on the type of a variable, while the Function Filter can preview these types.","Luau type inference now powers Autocomplete, Go To Declaration, Linting and the Script Function Filter in Script Editor, enhancing performance and reliability of all features. Autocomplete can now offer suggestions based on the type of a variable, while the Function Filter can preview these types."
Studio.App.BetaFeatures.LuauNativeVector3Title,,Native Vector3 Type,Native Vector3 Type
Studio.App.BetaFeatures.LuauNativeVector3Description,,Enable Luau VM built-in support for Vector3 type to improve script performance.,Enable Luau VM built-in support for Vector3 type to improve script performance.
Studio.App.BetaFeatures.CanQueryTitle,,Part property: CanQuery,Part property: CanQuery
Studio.App.BetaFeatures.CanQueryDescription,,Enables property for excluding BaseParts from spatial queries such as raycasts. Only accesible when CanCollide is disabled.,Enables property for excluding BaseParts from spatial queries such as raycasts. Only accesible when CanCollide is disabled.
Studio.App.BetaFeatures.MinPartSizeTitle,,Lower minimum part size,Lower minimum part size
Studio.App.BetaFeatures.MinPartSizeDescription,,"Reduces the minimum limit on part sizes from 0.05 to 0.001. Parts can be visually smaller, but will still limit to 0.05 for collision geometry for now.","Reduces the minimum limit on part sizes from 0.05 to 0.001. Parts can be visually smaller, but will still limit to 0.05 for collision geometry for now."
Studio.App.BetaFeatures.PathfindingModifiersTitle,,Pathfinding Modifiers,Pathfinding Modifiers
Studio.App.BetaFeatures.PathfindingModifiersDescription,,"Attached to Parts (if non-collidable, such Parts are used as volumes), their property Label can be used in the Cost table argument of CreatePath to make traversal cost non-unity.","Attached to Parts (if non-collidable, such Parts are used as volumes), their property Label can be used in the Cost table argument of CreatePath to make traversal cost non-unity."
Studio.App.BetaFeatures.CreateAssetAsyncTitle,,CreateAssetAsync Lua API,CreateAssetAsync Lua API
Studio.App.BetaFeatures.CreateAssetAsyncDescription,,Enables the use of AssetService:CreateAssetAsync and AssetService:CreateAssetVersionAsync for programatic upload of assets from Lua,Enables the use of AssetService:CreateAssetAsync and AssetService:CreateAssetVersionAsync for programatic upload of assets from Lua
